Age,waa,maa,M,F,Stock,Reference,Order,Family,Genus,Species,Max_age
1,0.094,0,0.4,0.04,Masaba-PA,201905,Perciformes,Scombridae,Scomber,japonicus,8
2,0.202,0,0.4,0.14,Masaba-PA,201905,Perciformes,Scombridae,Scomber,japonicus,8
3,0.264,0.2,0.4,0.29,Masaba-PA,201905,Perciformes,Scombridae,Scomber,japonicus,8
4,0.316,0.8,0.4,0.53,Masaba-PA,201905,Perciformes,Scombridae,Scomber,japonicus,8
5,0.349,1,0.4,0.55,Masaba-PA,201905,Perciformes,Scombridae,Scomber,japonicus,8
6,0.529,1,0.4,1,Masaba-PA,201905,Perciformes,Scombridae,Scomber,japonicus,8
7,0.645,1,0.4,1,Masaba-PA,201905,Perciformes,Scombridae,Scomber,japonicus,8
8,0.645,1,0.4,1,Masaba-PA,201905,Perciformes,Scombridae,Scomber,japonicus,8
9,0.645,1,0.4,1,Masaba-PA,201905,Perciformes,Scombridae,Scomber,japonicus,8
1,0.243,0,0.4,0.31,Masaba-EC,201906,Perciformes,Scombridae,Scomber,japonicus,6
2,0.33,0.6,0.4,1,Masaba-EC,201906,Perciformes,Scombridae,Scomber,japonicus,6
3,0.478,0.8,0.4,0.65,Masaba-EC,201906,Perciformes,Scombridae,Scomber,japonicus,6
4,0.619,1,0.4,0.65,Masaba-EC,201906,Perciformes,Scombridae,Scomber,japonicus,6
5,0.619,1,0.4,0.65,Masaba-EC,201906,Perciformes,Scombridae,Scomber,japonicus,6
6,0.619,1,0.4,0.65,Masaba-EC,201906,Perciformes,Scombridae,Scomber,japonicus,6
7,0.619,1,0.4,0.65,Masaba-EC,201906,Perciformes,Scombridae,Scomber,japonicus,6
1,0.129,0,0.4,0.25,Gomasaba-PA,201907,Perciformes,Scombridae,Scomber,australasicus,6
2,0.287,0,0.4,0.36,Gomasaba-PA,201907,Perciformes,Scombridae,Scomber,australasicus,6
3,0.417,1,0.4,0.54,Gomasaba-PA,201907,Perciformes,Scombridae,Scomber,australasicus,6
4,0.476,1,0.4,1,Gomasaba-PA,201907,Perciformes,Scombridae,Scomber,australasicus,6
5,0.58,1,0.4,1,Gomasaba-PA,201907,Perciformes,Scombridae,Scomber,australasicus,6
6,0.58,1,0.4,1,Gomasaba-PA,201907,Perciformes,Scombridae,Scomber,australasicus,6
7,0.58,1,0.4,1,Gomasaba-PA,201907,Perciformes,Scombridae,Scomber,australasicus,6
1,0.238,0,0.4,0.54,Gomasaba-EC,201908,Perciformes,Scombridae,Scomber,australasicus,8
2,0.354,0.6,0.4,0.71,Gomasaba-EC,201908,Perciformes,Scombridae,Scomber,australasicus,8
3,0.542,0.85,0.4,1,Gomasaba-EC,201908,Perciformes,Scombridae,Scomber,australasicus,8
4,0.709,1,0.4,1,Gomasaba-EC,201908,Perciformes,Scombridae,Scomber,australasicus,8
5,0.709,1,0.4,1,Gomasaba-EC,201908,Perciformes,Scombridae,Scomber,australasicus,8
6,0.709,1,0.4,1,Gomasaba-EC,201908,Perciformes,Scombridae,Scomber,australasicus,8
7,0.709,1,0.4,1,Gomasaba-EC,201908,Perciformes,Scombridae,Scomber,australasicus,8
1,0.894,0,0.3,0.026194318,Sawara-SE,201959,Perciformes,Scombridae,Scomberomorus,niphonius,7
2,2.252,0.5,0.3,0.282300585,Sawara-SE,201959,Perciformes,Scombridae,Scomberomorus,niphonius,7
3,3.146,1,0.3,0.97029703,Sawara-SE,201959,Perciformes,Scombridae,Scomberomorus,niphonius,7
4,4.385,1,0.3,0.845963707,Sawara-SE,201959,Perciformes,Scombridae,Scomberomorus,niphonius,7
5,5.742,1,0.3,0.845963707,Sawara-SE,201959,Perciformes,Scombridae,Scomberomorus,niphonius,7
6,5.742,1,0.3,0.845963707,Sawara-SE,201959,Perciformes,Scombridae,Scomberomorus,niphonius,7
7,5.742,1,0.3,0.845963707,Sawara-SE,201959,Perciformes,Scombridae,Scomberomorus,niphonius,7
8,5.742,1,0.3,0.845963707,Sawara-SE,201959,Perciformes,Scombridae,Scomberomorus,niphonius,7
1,0.04,0,0.5,0.52,Maaji-PA,p32_20200805,Perciformes,Carangidae,Trachurus,japonicus,5
2,0.106,0.5,0.5,0.75,Maaji-PA,p32_20200805,Perciformes,Carangidae,Trachurus,japonicus,5
3,0.224,1,0.5,1,Maaji-PA,p32_20200805,Perciformes,Carangidae,Trachurus,japonicus,5
4,0.404,1,0.5,1,Maaji-PA,p32_20200805,Perciformes,Carangidae,Trachurus,japonicus,5
5,0.404,1,0.5,1,Maaji-PA,p32_20200805,Perciformes,Carangidae,Trachurus,japonicus,5
6,0.404,1,0.5,1,Maaji-PA,p32_20200805,Perciformes,Carangidae,Trachurus,japonicus,5
1,0.0276,0,0.5,0.1,Maaji-EC,hosoku_8_1_20200807,Perciformes,Carangidae,Trachurus,japonicus,5
2,0.0748,0.5,0.5,1,Maaji-EC,hosoku_8_1_20200807,Perciformes,Carangidae,Trachurus,japonicus,5
3,0.1536,1,0.5,0.74,Maaji-EC,hosoku_8_1_20200807,Perciformes,Carangidae,Trachurus,japonicus,5
4,0.359,1,0.5,0.22,Maaji-EC,hosoku_8_1_20200807,Perciformes,Carangidae,Trachurus,japonicus,5
5,0.359,1,0.5,0.22,Maaji-EC,hosoku_8_1_20200807,Perciformes,Carangidae,Trachurus,japonicus,5
6,0.359,1,0.5,0.22,Maaji-EC,hosoku_8_1_20200807,Perciformes,Carangidae,Trachurus,japonicus,5
1,0.077,0,0.39,0.34,Madai-SEW,hosokuhyou2-1_201949,Perciformes,Sparidae,Pagrus,major,15
2,0.201,0,0.24,1,Madai-SEW,hosokuhyou2-1_201949,Perciformes,Sparidae,Pagrus,major,15
3,0.353,0,0.17,1.45,Madai-SEW,hosokuhyou2-1_201949,Perciformes,Sparidae,Pagrus,major,15
4,0.534,0.5,0.17,1.91,Madai-SEW,hosokuhyou2-1_201949,Perciformes,Sparidae,Pagrus,major,15
5,0.734,1,0.17,2.34,Madai-SEW,hosokuhyou2-1_201949,Perciformes,Sparidae,Pagrus,major,15
