Age,waa,maa,M,F,Stock,Reference,Order,Family,Genus,Species,Max_age
1,0.094,0,0.4,0.04,C.mack-PA,201905,Perciformes,Scombridae,Scomber,japonicus,8
2,0.202,0,0.4,0.14,C.mack-PA,201905,Perciformes,Scombridae,Scomber,japonicus,8
3,0.264,0.2,0.4,0.29,C.mack-PA,201905,Perciformes,Scombridae,Scomber,japonicus,8
4,0.316,0.8,0.4,0.53,C.mack-PA,201905,Perciformes,Scombridae,Scomber,japonicus,8
5,0.349,1,0.4,0.55,C.mack-PA,201905,Perciformes,Scombridae,Scomber,japonicus,8
6,0.529,1,0.4,1,C.mack-PA,201905,Perciformes,Scombridae,Scomber,japonicus,8
7,0.645,1,0.4,1,C.mack-PA,201905,Perciformes,Scombridae,Scomber,japonicus,8
8,0.645,1,0.4,1,C.mack-PA,201905,Perciformes,Scombridae,Scomber,japonicus,8
9,0.645,1,0.4,1,C.mack-PA,201905,Perciformes,Scombridae,Scomber,japonicus,8
1,0.243,0,0.4,0.31,C.mack-EC,201906,Perciformes,Scombridae,Scomber,japonicus,6
2,0.33,0.6,0.4,1,C.mack-EC,201906,Perciformes,Scombridae,Scomber,japonicus,6
3,0.478,0.8,0.4,0.65,C.mack-EC,201906,Perciformes,Scombridae,Scomber,japonicus,6
4,0.619,1,0.4,0.65,C.mack-EC,201906,Perciformes,Scombridae,Scomber,japonicus,6
5,0.619,1,0.4,0.65,C.mack-EC,201906,Perciformes,Scombridae,Scomber,japonicus,6
6,0.619,1,0.4,0.65,C.mack-EC,201906,Perciformes,Scombridae,Scomber,japonicus,6
7,0.619,1,0.4,0.65,C.mack-EC,201906,Perciformes,Scombridae,Scomber,japonicus,6
1,0.129,0,0.4,0.25,S.mack-PA,201907,Perciformes,Scombridae,Scomber,australasicus,6
2,0.287,0,0.4,0.36,S.mack-PA,201907,Perciformes,Scombridae,Scomber,australasicus,6
3,0.417,1,0.4,0.54,S.mack-PA,201907,Perciformes,Scombridae,Scomber,australasicus,6
4,0.476,1,0.4,1,S.mack-PA,201907,Perciformes,Scombridae,Scomber,australasicus,6
5,0.58,1,0.4,1,S.mack-PA,201907,Perciformes,Scombridae,Scomber,australasicus,6
6,0.58,1,0.4,1,S.mack-PA,201907,Perciformes,Scombridae,Scomber,australasicus,6
7,0.58,1,0.4,1,S.mack-PA,201907,Perciformes,Scombridae,Scomber,australasicus,6
1,0.238,0,0.4,0.76,S.mack-EC,201908,Perciformes,Scombridae,Scomber,australasicus,8
2,0.354,0.6,0.4,1,S.mack-EC,201908,Perciformes,Scombridae,Scomber,australasicus,8
3,0.542,0.85,0.4,1.41,S.mack-EC,201908,Perciformes,Scombridae,Scomber,australasicus,8
4,0.709,1,0.4,1.41,S.mack-EC,201908,Perciformes,Scombridae,Scomber,australasicus,8
5,0.709,1,0.4,1.41,S.mack-EC,201908,Perciformes,Scombridae,Scomber,australasicus,8
6,0.709,1,0.4,1.41,S.mack-EC,201908,Perciformes,Scombridae,Scomber,australasicus,8
7,0.709,1,0.4,1.41,S.mack-EC,201908,Perciformes,Scombridae,Scomber,australasicus,8
1,0.91,0.00,0.10,0.01,JS.mack-SE,201959,Perciformes,Scombridae,Scomberomorus,niphonius,7
2,2.00,0.50,0.30,0.23,JS.mack-SE,201959,Perciformes,Scombridae,Scomberomorus,niphonius,7
3,2.74,1.00,0.30,0.76,JS.mack-SE,201959,Perciformes,Scombridae,Scomberomorus,niphonius,7
